OBJECTID,OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE,x,y
1,106130699,EL CENTRO REGIONAL MEDICAL CENTER,90000004,Parent Facility,1415 ROSS AVE,EL CENTRO,92243,13,Imperial,Emergency - Basic,161,Open,1/21/1967 12:00:00 AM,Hospital,General Acute Care Hospital,32.78138,-115.49824,6792728.02596672,1864913.90663956
2,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,90000087,Parent Facility,207 W LEGION RD,BRAWLEY,92227,13,Imperial,Emergency - Basic,107,Open,11/6/1950 12:00:00 AM,Hospital,General Acute Care Hospital,32.96003,-115.55183,6775821.83471355,1929799.14169823
3,106301155,COLLEGE HOSPITAL COSTA MESA,60000100,Parent Facility,301 VICTORIA ST,COSTA MESA,92627,30,Orange,None,122,Open,9/5/1968 12:00:00 AM,Hospital,General Acute Care Hospital,33.65249,-117.91303,6055600.99169356,2185078.30994464
4,106301205,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,60000122,Parent Facility,1 Hoag Dr,Newport Beach,92663,30,Orange,Emergency - Basic,434,Open,9/15/1952 12:00:00 AM,Hospital,General Acute Care Hospital,33.62526,-117.92949,6050432.95511363,2175251.29514989
5,106301262,PROVIDENCE MISSION HOSPITAL,60000146,Parent Facility,27700 MEDICAL CENTER RD,MISSION VIEJO,92691,30,Orange,Emergency - Basic,345,Open,8/10/1971 12:00:00 AM,Hospital,General Acute Care Hospital,33.56279,-117.66768,6129813.57325497,2151338.09756956
6,106301304,NEWPORT BAY HOSPITAL,60000160,Parent Facility,1501 E 16TH ST,NEWPORT BEACH,92663,30,Orange,Not Applicable,36,Open,1/7/1958 12:00:00 AM,Hospital,Acute Psychiatric Hospital,33.62218,-117.90654,6057400.54550913,2174018.91539681
7,106301317,MEMORIALCARE SADDLEBACK MEDICAL CENTER,60000166,Parent Facility,24451 Health Center Dr,Laguna Hills,92653,30,Orange,Emergency - Basic,248,Open,1/27/1974 12:00:00 AM,Hospital,General Acute Care Hospital,33.60802,-117.70825,6117686.02434738,2167965.22671682
8,106301325,SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,60000166,Consolidated Facility,654 Camino de los Mares,San Clemente,92673,30,Orange,None,73,Open,6/12/2020 12:00:00 AM,Hospital,General Acute Care Hospital,33.45745,-117.64954,6134824.59833789,2112936.41354631
9,106301337,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH,60000146,Consolidated Facility,31872 Coast Hwy,Laguna Beach,92651,30,Orange,Emergency - Basic,159,Open,7/1/2009 12:00:00 AM,Hospital,General Acute Care Hospital,33.4997391,-117.7422502,6106771.00943205,2128714.74517857
10,106301357,FOOTHILL REGIONAL MEDICAL CENTER,60000178,Parent Facility,14662 Newport Ave,Tustin,92780,30,Orange,Emergency - Basic,177,Open,2/23/1998 12:00:00 AM,Hospital,General Acute Care Hospital,33.73119,-117.82903,6081594.33931306,2213315.76035939
