ZipCode,Population,Number of Households,Median Income,Average Income
91901,"18,367","6,313","$105,679.00","$134,036.00"
91902,"17,759","6,041","$112,331.00","$142,568.00"
91905,"1,616",562,$0.00,"$72,551.00"
91906,"4,547","1,343","$49,191.00","$75,947.00"
91910,"76,291","25,531","$77,005.00","$98,413.00"
91911,"88,589","25,756","$70,873.00","$88,309.00"
91913,"53,725","15,469","$114,352.00","$143,549.00"
91914,"17,742","4,744","$150,284.00","$161,853.00"
91915,"34,616","9,713","$128,839.00","$131,920.00"
91916,"1,966",671,"$109,861.00","$135,181.00"
91917,769,198,"$82,586.00","$82,209.00"
91931,765,304,"$65,316.00","$53,616.00"
91932,"26,375","9,187","$68,917.00","$84,153.00"
91934,796,271,$0.00,"$41,140.00"
91935,"9,450","2,980","$114,746.00","$137,889.00"
91941,"33,858","12,486","$100,224.00","$123,450.00"
91942,"40,863","16,960","$72,145.00","$90,664.00"
91945,"27,685","9,162","$71,294.00","$82,930.00"
91948,137,59,"$72,788.00","$65,139.00"
91950,"58,349","17,769","$51,300.00","$67,266.00"
91962,"2,507",971,"$138,775.00","$140,533.00"
91963,501,112,$0.00,"$74,390.00"
91977,"65,722","19,730","$76,902.00","$98,180.00"
91978,"10,979","3,320","$82,885.00","$105,981.00"
92003,"4,299","1,627","$98,304.00","$128,756.00"
92004,"2,779","1,336","$83,676.00","$102,262.00"
92007,"11,447","4,289","$124,219.00","$176,907.00"
92008,"27,742","11,976","$89,502.00","$125,939.00"
92009,"46,622","16,512","$149,820.00","$190,602.00"
92010,"15,976","6,388","$108,398.00","$121,173.00"
92011,"24,518","9,474","$121,353.00","$163,857.00"
92014,"12,823","5,452","$178,080.00","$257,691.00"
92019,"45,694","15,091","$89,937.00","$117,668.00"
92020,"60,222","19,997","$64,691.00","$87,082.00"
92021,"71,006","23,331","$63,395.00","$86,651.00"
92024,"50,840","19,480","$133,304.00","$190,490.00"
92025,"50,831","16,799","$58,608.00","$87,508.00"
92026,"51,953","18,432","$83,194.00","$105,688.00"
92027,"56,878","17,263","$74,690.00","$92,059.00"
92028,"50,661","16,649","$87,754.00","$111,773.00"
92029,"19,466","7,459","$98,848.00","$132,115.00"
92036,"2,981","1,360","$64,545.00","$83,048.00"
92037,"37,505","16,342","$125,636.00","$197,717.00"
92040,"45,371","15,446","$88,820.00","$104,912.00"
92054,"37,567","14,910","$64,694.00","$93,241.00"
92055,"9,891",0,$0.00,$0.00
92056,"54,045","19,344","$90,777.00","$110,677.00"
92057,"58,444","18,440","$91,298.00","$112,388.00"
92058,"47,286","14,201","$61,636.00","$75,247.00"
92059,"1,445",491,"$87,486.00","$120,130.00"
92060,392,99,$0.00,"$146,985.00"
92061,"1,694",647,"$78,162.00","$89,426.00"
92064,"49,005","16,282","$119,838.00","$155,787.00"
92065,"36,838","12,229","$103,743.00","$123,557.00"
92066,358,177,"$45,375.00","$63,370.00"
92067,"9,060","2,991","$216,781.00","$316,564.00"
92069,"46,375","14,824","$80,429.00","$106,815.00"
92070,869,355,"$75,417.00","$84,741.00"
92071,"59,826","20,678","$93,043.00","$108,281.00"
92083,"38,875","11,316","$73,204.00","$97,373.00"
92084,"49,759","14,672","$85,150.00","$109,874.00"
92086,"1,306",524,"$48,750.00","$83,945.00"
92091,"1,331",609,"$151,458.00","$216,971.00"
92101,"43,096","25,702","$78,092.00","$112,194.00"
92102,"40,083","14,420","$59,586.00","$78,765.00"
92075,"12,234","4,978","$111,500.00","$166,456.00"
92078,"53,247","17,988","$97,908.00","$125,636.00"
92081,"29,944","10,420","$90,621.00","$110,258.00"
92082,"20,300","6,134","$103,509.00","$124,801.00"
92103,"33,873","18,550","$84,756.00","$125,920.00"
92104,"45,773","21,951","$79,929.00","$99,127.00"
92105,"73,085","22,779","$51,868.00","$69,807.00"
92106,"20,889","7,678","$117,589.00","$163,321.00"
92107,"29,753","13,507","$93,741.00","$122,147.00"
92108,"21,995","11,847","$87,032.00","$107,473.00"
92109,"45,333","21,942","$95,170.00","$125,444.00"
92110,"30,318","11,875","$87,286.00","$108,132.00"
92111,"49,351","16,870","$85,347.00","$101,182.00"
92113,"51,461","13,757","$49,651.00","$62,891.00"
92114,"67,745","18,163","$79,917.00","$94,414.00"
92115,"61,450","20,892","$59,931.00","$81,401.00"
92116,"31,470","16,356","$83,869.00","$111,551.00"
92117,"55,195","20,681","$97,702.00","$117,195.00"
92118,"19,672","7,147","$114,559.00","$174,248.00"
92119,"24,465","9,224","$101,109.00","$124,739.00"
92120,"29,172","11,544","$103,596.00","$132,351.00"
92121,"4,213","1,694","$117,200.00","$144,908.00"
92122,"45,676","19,242","$88,073.00","$113,159.00"
92123,"33,035","12,035","$97,691.00","$112,755.00"
92124,"31,593","11,201","$98,693.00","$121,653.00"
92126,"78,097","24,903","$105,284.00","$123,808.00"
92127,"50,852","15,909","$156,464.00","$205,510.00"
92128,"50,161","20,465","$112,779.00","$137,703.00"
92129,"53,742","18,049","$131,688.00","$162,694.00"
92130,"57,197","20,632","$166,789.00","$218,484.00"
92131,"36,070","12,550","$153,058.00","$187,058.00"
92134,316,0,$0.00,$0.00
92135,641,0,$0.00,$0.00
92145,"3,044",0,$0.00,$0.00
92147,212,0,$0.00,$0.00
92154,"85,024","22,724","$74,705.00","$89,318.00"
92155,340,0,$0.00,$0.00
92173,"29,634","8,064","$54,003.00","$70,482.00"
92139,"35,364","9,929","$80,594.00","$96,993.00"
92140,"3,249",0,$0.00,$0.00
