"objectid","name","address","city","zip","phone","website","lat","lng"
"8","Balboa","4255 Mt. Abernathy Avenue","San Diego, CA","92117","(858) 573-1390","http://www.sandiego.gov/public-library/","32.822431512913106","-117.17490204983528"
"9","Mountain View/Beckwourth","721 San Pasqual St","San Diego, CA","92113","(619) 527-3404","http://www.sandiego.gov/public-library/","32.697854041810004","-117.10246226071791"
"10","Benjamin","5188 Zion Street","San Diego, CA","92120","(619) 533-3970","http://www.sandiego.gov/public-library/","32.79305293808822","-117.08143552016541"
"11","Carmel Mountain Ranch","12095 World Trade Dr.","San Diego, CA","92128","(858) 538-8181","http://www.sandiego.gov/public-library/","32.981705786093755","-117.07383241467502"
"12","Carmel Valley","3919 Townsgate Drive","San Diego, CA","92130","(858) 552-1668","http://www.sandiego.gov/public-library/","32.95225916369978","-117.23056267772996"
"13","Clairemont","2920 Burgener Boulevard","San Diego, CA","92110","(858) 581-9935","http://www.sandiego.gov/public-library/","32.793624499760824","-117.19401653351689"
"14","Kensington - Normal Heights","4121 Adams Avenue","San Diego, CA","92116","(619) 533-3974","http://www.sandiego.gov/public-library/","32.76297867148069","-117.10682736961755"
"15","La Jolla/Riford","7555 Draper Ave","La Jolla, CA","92037","(858) 552-1657","http://www.sandiego.gov/public-library/","32.84067507129441","-117.27605721282701"
"16","Linda Vista","2160 Ulric Street","San Diego, CA","92111","(858) 573-1399","http://www.sandiego.gov/public-library/","32.783274133235246","-117.17004436238852"
"17","Logan Heights","567 South 28th Street","San Diego, CA","92113","(619) 533-3968","http://www.sandiego.gov/public-library/","32.70011920867203","-117.13355587544987"
"18","Valencia Park /Malcolm X","5148 Market Street","San Diego, CA","92114","(619) 527-3405","http://www.sandiego.gov/public-library/","32.710796627072355","-117.08405502054373"
"19","Mira Mesa","8405 New Salem St","San Diego, CA","92126","(858) 538-8165","http://www.sandiego.gov/public-library/","32.91531572826409","-117.14271355634698"
"20","Mission Hills-Hillcrest/Knox","215 West Washington St","San Diego, CA","92103","(619) 692-4910","http://www.sandiego.gov/public-library/","32.74960428070882","-117.17193701869468"
"21","North Clairemont","4616 Clairemont Drive","San Diego, CA","92117","(858) 581-9931","http://www.sandiego.gov/public-library/","32.82831046273604","-117.20645916947377"
"22","North Park","3795 31st Street","San Diego, CA","92104","(619) 533-3972","http://www.sandiego.gov/public-library/","32.74720118467388","-117.12685649234199"
"23","Oak Park","2802 54th Street","San Diego, CA","92105","(619) 527-3406","http://www.sandiego.gov/public-library/","32.73523438110684","-117.08002762231324"
"24","Ocean Beach","4801 Santa Monica Avenue","San Diego, CA","92107","(619) 531-1532","http://www.sandiego.gov/public-library/","32.74544782425997","-117.24726338511512"
"25","Otay Mesa/Nestor","3003 Coronado Avenue","San Diego, CA","92154","(619) 424-0474","http://www.sandiego.gov/public-library/","32.57659814239416","-117.0679295861216"
"26","Paradise Hills","5922 Rancho Hills Drive","San Diego, CA","92139","(619) 527-3461","http://www.sandiego.gov/public-library/","32.67264124878188","-117.06127115250608"
