X,Y,OBJECTID,cdsCode,schoolID,district,name,addr,city,zip,openDate,charter,docType,socType,gsOffered,shrtName,priv
-117.006036369342,32.6486495596825,1,37684116059745,1,Sweetwater Union High,Bonita Vista Middle,650 Otay Lakes Road,Chula Vista,91910,1980/07/01 00:00:00+00,N,High School District,Intermediate/Middle Schools (Public),7-8,Bonita Vista Mid,N
-116.998197145985,32.6459955415134,2,37684113730405,2,Sweetwater Union High,Bonita Vista Senior High,751 Otay Lakes Road,Chula Vista,91913,1980/07/01 00:00:00+00,N,High School District,High Schools (Public),9-12,Bonita Vista SH,N
-117.044515361831,32.6451930392632,3,37680236109771,3,Chula Vista Elementary,Clear View,455 Windrose Way,Chula Vista,91910,1991/09/10 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Clear View,N
-116.990662492697,32.6455623814071,4,37680236095020,4,Chula Vista Elementary,Tiffany (Burton C.) Elementary,1691 Elmhurst Street,Chula Vista,91913,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Tiffany,N
-116.984155336014,32.6331874150473,5,37680236118988,5,Chula Vista Elementary,McMillin (Corky) Elementary,1201 Santa Cora Avenue,Chula Vista,91913,2001/07/17 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,McMillin,N
-117.144293953827,32.6447033746432,6,37680316038087,6,Coronado Unified,Silver Strand Elementary,1350 Leyte Road,Coronado,92118,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Silver Strand,N
-117.096507254733,32.6421217993982,7,37680236037956,7,Chula Vista Elementary,Feaster (Mae L.) Charter,670 Flower Street,Chula Vista,91910,1980/07/01 00:00:00+00,Y,Elementary School District,Elementary Schools (Public),K-8,Feaster,N
-117.016554643809,32.6417243879884,8,37680236111322,8,Chula Vista Elementary,Discovery Charter,1100 Camino Biscay,Chula Vista,91910,1993/07/27 00:00:00+00,Y,Elementary School District,Elementary Schools (Public),K-8,Discovery Charter,N
-116.486757738467,32.6427975941098,9,37682136038681,9,Mountain Empire Unified,Campo Elementary,1654 Buckman Springs Road,Campo,91906,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),P-8,Campo Elem,N
-116.953508228205,32.6385641230749,10,37680236116859,10,Chula Vista Elementary,Arroyo Vista Charter,2491 School House Road,Chula Vista,91915,1999/07/20 00:00:00+00,Y,Elementary School District,Elementary Schools (Public),K-8,Arroyo Vista,N
-116.947448289909,32.6547370367355,11,37684116120968,11,Sweetwater Union High,Eastlake Middle,900 Duncan Ranch Road,Chula Vista,91914,2003/07/01 00:00:00+00,N,High School District,Intermediate/Middle Schools (Public),7-8,Eastlake Mid,N
-116.967129559649,32.6408745731119,12,37684113730843,12,Sweetwater Union High,Eastlake High,1120 Eastlake Parkway,Chula Vista,91915,1992/09/08 00:00:00+00,N,High School District,High Schools (Public),9-12,Eastlake,N
-117.05956858028,32.6371932315883,13,37684113732849,13,Sweetwater Union High,Hilltop Senior High,555 Claire Avenue,Chula Vista,91910,1980/07/01 00:00:00+00,N,High School District,High Schools (Public),9-12,Hilltop,N
-116.964949996841,32.6377835163999,14,37680236113021,14,Chula Vista Elementary,Olympic View Elementary,1220 South Greensview Drive,Chula Vista,91915,1995/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Olympic View,N
-117.003579183866,32.6370454636605,15,37680236107775,15,Chula Vista Elementary,Chula Vista Hills Elementary,980 Buena Vista Way,Chula Vista,91910,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Chula Vista Hills,N
-117.087635028686,32.6350389902931,16,37680236038046,17,Chula Vista Elementary,Vista Square Elementary,540 G Street,Chula Vista,91910,1943/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Vista Square,N
-117.084836698031,32.6343759729299,17,37684116059760,18,Sweetwater Union High,Chula Vista Middle,415 Fifth Avenue,Chula Vista,91910,1980/07/01 00:00:00+00,N,High School District,Intermediate/Middle Schools (Public),7-8,Chula Vista Mid,N
-116.996432412,32.6262254936978,18,37680236118970,19,Chula Vista Elementary,Heritage Elementary,1450 Santa Lucia Road,Chula Vista,91913,2001/07/17 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Heritage,N
-117.00846537816,32.6300384307944,19,37684116114276,20,Sweetwater Union High,Rancho del Rey Middle,1174 East J Street,Chula Vista,91910,1997/07/15 00:00:00+00,N,High School District,Intermediate/Middle Schools (Public),7-8,Rancho del Rey,N
-116.991077785989,32.6205695585381,20,37684113731627,21,Sweetwater Union High,Otay Ranch Senior High,1250 Olympic Parkway,Chula Vista,91913,2003/07/21 00:00:00+00,N,High School District,High Schools (Public),9-12,Otay Ranch,N
-117.010516383763,32.6292924409403,21,37680236115646,22,Chula Vista Elementary,Casillas (Joseph) Elementary,1130 East J Street,Chula Vista,91910,1998/07/21 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Casillas,N
-117.014940902829,32.6168116654908,22,37680230101592,23,Chula Vista Elementary,Hedenkamp (Anne and William) Elementary,930 East Palomar,Chula Vista,91913,2003/09/02 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Hedenkamp,N
-117.092870236848,32.6264691189995,23,37680236037980,24,Chula Vista Elementary,Mueller Charter (Robert L.),715 I Street,Chula Vista,91910,1980/07/01 00:00:00+00,Y,Elementary School District,Elementary Schools (Public),K-12,Mueller,N
-116.492745495337,32.7338364333705,24,37682133730991,25,Mountain Empire Unified,Hillside Junior/Senior High,3305 Buckman Springs Road,Pine Valley,91962,1995/08/28 00:00:00+00,N,Unified School District,Alternative Schools of Choice,7-12,Hillside,N
